_id,name,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f270820f),Amul Kool Lassee Rose ,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,56,5.6,8,70,64.4,20,12,1l,Y,,,https://images-na.ssl-images-amazon.com/images/I/51TdPCNzFkL._SL1000_.jpg
ObjectId(5ffb514e80ef0812f2708210),Amul Lassi ,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,16,2,10,20,18,20,0,250ml,Y,,https://images-na.ssl-images-amazon.com/images/I/71AFUNd8HvL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CkFXdPaqL.jpg
ObjectId(5ffb514e80ef0812f2708211),Amulya Refill ,Amul,Kaira Coop Milk Producers (Anand),5,Breakfast & Dairy,64,5.44,6.8,80,74.56,20,5,200g,Y,,,https://images-na.ssl-images-amazon.com/images/I/51ZZ0A3464L._SL1108_.jpg
ObjectId(5ffb514e80ef0812f2708212),Amulya Refill ,Amul,Kaira Coop Milk Producers (Anand),5,Breakfast & Dairy,158,13.4,6.802030457,197,183.6,20,5,500g,Y,,,https://images-na.ssl-images-amazon.com/images/I/71xo7zY1C1L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708213),Amul Slim n Trim  Refill,Amul,Kaira Coop Milk Producers (Anand),7,Breakfast & Dairy,159,49.75,25,199,149.25,20,5,500g,Y,,https://images-na.ssl-images-amazon.com/images/I/51tQsrpee0L._SL1080_.jpg,https://images-na.ssl-images-amazon.com/images/I/611qbJp8IUL._SL1080_.jpg
ObjectId(5ffb514e80ef0812f2708214),Amul Mithai Gulabjamun Round  Tin,Amul,Kaira Coop Milk Producers (Anand),5,Sweets,176,28.6,13,220,191.4,20,5,1kg,Y,,,https://images-na.ssl-images-amazon.com/images/I/71f0KgUjrTL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708215),Amul Mithai Gulab Jamun RoundTin,Amul,Kaira Coop Milk Producers (Anand),5,Sweets,92,14.95,13,115,100.05,20,5,500gm,Y,,,https://images-na.ssl-images-amazon.com/images/I/81nUz4F-nfL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708216),Amul Rosogolla Tin,Amul,Kaira Coop Milk Producers (Anand),5,Sweets,148,24.05,13,185,160.95,20,5,1kg,Y,,,https://images-na.ssl-images-amazon.com/images/I/41F9hSdpyoL.jpg
ObjectId(5ffb514e80ef0812f2708217),Amul Rosogolla  Tin,Amul,Kaira Coop Milk Producers (Anand),5,Sweets,76,12.35,13,95,82.65,20,5,500gm,Y,,,https://images-na.ssl-images-amazon.com/images/I/413syrjlcEL.jpg
ObjectId(5ffb514e80ef0812f2708218),Amul Kool Strawberry Can,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,24,3.3,11,30,26.7,20,12,200ml,Y,,,https://ls-m.globallinker.net/265060/2020/4780932.png?width=390&height=390
ObjectId(5ffb514e80ef0812f2708219),Amul Kool Badam MS Can,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,24,3.3,11,30,26.7,20,12,200ml,Y,,,https://www.theroyalfresh.com/images/thumbs/0001502_amul-kool-badam-ms-can-200ml_510.jpeg
ObjectId(5ffb514e80ef0812f270821a),Amul Kool Koko  Can,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,24,3.3,11,30,26.7,20,12,200ml,Y,,,https://rukminim1.flixcart.com/image/416/416/j5zmw7k0/milk/7/z/v/200-flavored-amul-original-imaewkdahfk5v8vd.jpeg?q=70
ObjectId(5ffb514e80ef0812f270821b),Amul Kadhai Doodh  Can,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,24,3.3,11,30,26.7,20,12,200ml,Y,,https://images-na.ssl-images-amazon.com/images/I/71Y4qCBvLGL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71OwqCFS%2BTL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270821c),Amul Double Choc Milkshake Can,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,32,4.4,11,40,35.6,20,12,200ml,N,,,https://images-na.ssl-images-amazon.com/images/I/61bAfi-FTiL._SL1125_.jpg
